date,f_open,f_high,f_low,f_close,f_adj_close
2016-05-16,2062.75,2068.5,2035.0,2041.25,1421736
2016-05-17,2043.5,2069.5,2036.75,2062.0,1988181
2016-05-18,2041.5,2057.75,2030.75,2043.75,2085972
2016-05-19,2038.75,2044.75,2022.0,2043.5,2055973
2016-05-20,2050.0,2055.5,2037.25,2038.75,1583721
2016-05-23,2045.25,2056.0,2043.5,2053.25,1183296
2016-05-24,2075.0,2077.25,2041.25,2045.0,1603195
2016-05-25,2087.25,2092.5,2073.5,2075.0,1442270
2016-05-26,2089.75,2091.75,2082.5,2088.75,968439
2016-05-27,2097.25,2098.75,2088.0,2090.5,1035175
2016-05-31,2095.0,2103.75,2086.0,2100.0,1631254
2016-06-01,2098.0,2099.25,2083.25,2094.0,1317565
2016-06-02,2103.75,2104.75,2086.75,2096.75,1299962
2016-06-03,2097.75,2106.0,2082.75,2103.5,1746160
2016-06-06,2108.25,2112.25,2094.0,2097.5,1272974
2016-06-07,2110.25,2118.0,2106.5,2108.25,1125951
2016-06-08,2118.0,2119.75,2106.5,2110.25,1308451
2016-06-09,2114.25,2118.5,2106.25,2117.75,1644419
2016-06-10,2096.25,2114.0,2088.5,2113.75,1244099
2016-06-13,2078.75,2098.25,2075.75,2089.25,1222789
2016-06-14,2074.5,2081.75,2063.25,2077.0,1163137
2016-06-15,2071.75,2086.25,2068.75,2072.75,609849
2016-06-16,2079.25,2080.0,2050.0,2070.5,426215
2016-06-17,2078.5,2083.0,2073.75,2077.75,1833560
2016-06-20,2074.25,2092.5,2070.25,2071.0,1598465
2016-06-21,2080.5,2086.0,2074.0,2079.0,1400709
2016-06-22,2076.75,2091.25,2075.25,2079.25,1419838
2016-06-23,2105.75,2113.25,2083.0,2083.0,1314510
2016-06-24,2018.5,2119.5,1999.0,2115.75,4174598
2016-06-27,1985.0,2022.5,1981.5,2013.75,3021015
2016-06-28,2028.5,2029.75,1982.25,1982.5,2285755
2016-06-29,2066.75,2074.75,2022.75,2028.25,2065151
2016-06-30,2090.25,2091.25,2056.5,2072.25,2301226
2016-07-01,2096.25,2100.75,2081.5,2086.5,1665376
2016-07-05,2082.75,2104.75,2072.5,2099.75,1862935
2016-07-06,2094.0,2094.5,2065.75,2084.0,2054794
2016-07-07,2092.0,2102.0,2081.75,2092.0,1666356
2016-07-08,2120.5,2125.5,2087.5,2092.0,1962358
2016-07-11,2130.25,2136.75,2120.0,2120.25,1467322
2016-07-12,2145.75,2149.25,2128.5,2130.75,1704053
2016-07-13,2146.0,2152.25,2139.5,2145.75,1633489
2016-07-14,2157.25,2168.0,2142.75,2145.25,1782561
2016-07-15,2152.75,2164.75,2143.25,2156.5,1518276
2016-07-18,2160.0,2163.25,2152.75,2154.5,1205765
2016-07-19,2158.75,2160.75,2151.25,2160.0,1151631
2016-07-20,2167.5,2169.75,2155.25,2159.0,1134131
2016-07-21,2158.0,2170.25,2153.5,2168.25,1300678
2016-07-22,2167.5,2169.25,2156.0,2159.0,1133059
2016-07-25,2162.25,2172.5,2155.75,2167.75,1264905
2016-07-26,2163.25,2168.0,2153.75,2162.75,1609035
2016-07-27,2160.5,2169.25,2152.0,2166.0,1642569
2016-07-28,2164.75,2168.5,2153.5,2162.75,1622142
2016-07-29,2168.25,2171.75,2157.5,2165.5,1718155
2016-08-01,2164.5,2177.75,2159.75,2174.0,1659094
